iter	Logloss
0	0.6777980042
1	0.6648136902
2	0.6505080414
3	0.6361586761
4	0.6221035767
5	0.6113986206
6	0.6010160828
7	0.5919013214
8	0.5834207153
9	0.5778397369
10	0.5682180786
11	0.5610357666
12	0.5546964264
13	0.5470787811
14	0.5399601746
15	0.5348252106
16	0.5295937347
17	0.5239683533
18	0.5186711884
19	0.5152446747
20	0.510118103
21	0.5048636627
22	0.5018054199
23	0.4969940948
24	0.4916257095
25	0.488992691
26	0.485519104
27	0.4817007446
28	0.4774100113
29	0.4727490234
30	0.4678020477
31	0.4640872955
32	0.4609399033
33	0.4593201447
34	0.4561776733
35	0.4524908829
36	0.4489057159
37	0.445423317
38	0.4406332779
39	0.4357986069
40	0.4325705719
41	0.4298231506
42	0.4280404282
43	0.4240529251
44	0.4210163116
45	0.4181246948
46	0.4150225067
47	0.4109431458
48	0.4082987976
49	0.4049570847
50	0.3998462677
51	0.3954667664
52	0.3926502991
53	0.3888802338
54	0.386019516
55	0.383814621
56	0.3803202057
57	0.3766522217
58	0.3741785049
59	0.3716363525
60	0.3681638336
61	0.3650868607
62	0.3622917557
63	0.3609153366
64	0.3590875244
65	0.3554237747
66	0.3510940552
67	0.3487460327
68	0.3472473145
69	0.3448671722
70	0.3427779388
71	0.3388555145
72	0.3362078094
73	0.3341174698
74	0.3320795441
75	0.327486496
76	0.3256194305
77	0.3241318512
78	0.3205428314
79	0.3163161659
80	0.3132087326
81	0.311391716
82	0.310426178
83	0.307256546
84	0.3031363678
85	0.2990584946
86	0.2956702995
87	0.2935876846
88	0.2894676208
89	0.286953125
90	0.2839620399
91	0.2811760521
92	0.2786778259
93	0.2762962914
94	0.2744217491
95	0.2711453438
96	0.2686736679
97	0.266613121
98	0.2639390945
99	0.2615810204
100	0.2597053719
101	0.2580132294
102	0.2560652542
103	0.2548864746
104	0.2518217468
105	0.2495528984
106	0.2484790421
107	0.2461660004
108	0.2436095428
109	0.2422262192
110	0.2402491951
111	0.2388075066
112	0.2366523743
113	0.2342891502
114	0.2319150925
115	0.2287048721
116	0.2264203644
117	0.2246437645
118	0.2232720566
119	0.2226060867
120	0.2214781189
121	0.2196799469
122	0.2185214233
123	0.2168512917
124	0.2142263031
125	0.2113104248
126	0.2094599533
127	0.2076763344
128	0.2060549164
129	0.2037639236
130	0.2017334175
131	0.2003969765
132	0.1991191483
133	0.197110672
134	0.1961077118
135	0.1942857552
136	0.1917200851
137	0.1894856071
138	0.1879037666
139	0.1871708679
140	0.1862128067
141	0.1846576309
142	0.1833477783
143	0.1818100357
144	0.1812475967
145	0.1798810387
146	0.1785135078
147	0.1771751976
148	0.1751628494
149	0.173712368
150	0.1725354385
151	0.1701331711
152	0.1688472748
153	0.1677447128
154	0.1668231583
155	0.1646351242
156	0.1634418106
157	0.1622516441
158	0.1611292648
159	0.1600079346
160	0.1587000179
161	0.1581761169
162	0.1567970085
163	0.1560034084
164	0.1545918941
165	0.153207283
166	0.1524304867
167	0.1513822174
168	0.1502211761
169	0.1494276619
170	0.1480330372
171	0.145950737
172	0.1442770767
173	0.1432239914
174	0.1423215103
175	0.1412941647
176	0.1402719498
177	0.1387735176
178	0.1378030396
179	0.13668993
180	0.1357139492
181	0.1348318863
182	0.1342573738
183	0.1329522228
184	0.131996851
185	0.1308619595
186	0.1300658226
187	0.1289499283
188	0.1280543709
189	0.1266221619
190	0.1259032631
191	0.1250043201
192	0.1243346786
193	0.1236634636
194	0.1231302738
195	0.1222061348
196	0.12141922
197	0.1207842445
198	0.1200755978
199	0.1183839321
200	0.1175106812
201	0.1162248039
202	0.1156352997
203	0.1149888706
